data_dir,N_way,K_shot,inner_lr,outer_lr,n_steps,meta_steps,task_mb_size,use_gpu,num_tasks,save_dir,method,neumann_steps,penalty_lambda,train_pre,test_pre,train_post,test_post,train_acc,val_acc
/home/adithi-samudrala/imaml_dev/omniglot/python,5,1,0.01,0.1,5,2000,16,True,20000,/home/adithi-samudrala/imaml_dev/examples/../results/reptile_new,reptile_new,3,1.0,2.3143881484866142,2.379690535366535,0.03358782967552543,1.8442973047494888,100.0,33.75
,,,,,,,,,,,,,,8.870905339717865,8.855363100767136,1.7792440056800842,6.072893589735031,68.75,27.5
,,,,,,,,,,,,,,5.0019223392009735,4.8994161784648895,2.4007537439465523,3.3790906220674515,61.25,26.25
,,,,,,,,,,,,,,4.18739552795887,4.256956145167351,2.289025656878948,2.712456002831459,45.0,22.5
,,,,,,,,,,,,,,5.082769721746445,5.14797905087471,3.3320900946855545,3.4336578249931335,27.5,21.25
,,,,,,,,,,,,,,3.074508786201477,3.0025048553943634,2.0634518787264824,2.088433161377907,30.0,21.25
,,,,,,,,,,,,,,2.4113750010728836,2.390646494925022,1.804035261273384,1.881980538368225,28.75,20.0
,,,,,,,,,,,,,,2.7316160053014755,2.8158562034368515,2.1608083695173264,2.2442112490534782,23.75,21.25
,,,,,,,,,,,,,,2.3952192440629005,2.423326686024666,2.052346356213093,2.102609373629093,22.5,11.25
,,,,,,,,,,,,,,2.11512953042984,1.9977677464485168,1.8228822201490402,1.7504902333021164,21.25,16.25
,,,,,,,,,,,,,,1.9338143542408943,1.8946420177817345,1.7490727603435516,1.7267441675066948,22.5,21.25
,,,,,,,,,,,,,,2.0610903799533844,2.0440370738506317,1.8188454434275627,1.7933083698153496,25.0,21.25
,,,,,,,,,,,,,,1.9491802752017975,1.9463924691081047,1.7987072840332985,1.7917223200201988,18.75,23.75
,,,,,,,,,,,,,,1.741279624402523,1.730160914361477,1.6563009321689606,1.6542662382125854,20.0,21.25
,,,,,,,,,,,,,,1.6897221580147743,1.678481474518776,1.648617334663868,1.6474341005086899,21.25,23.75
,,,,,,,,,,,,,,1.7720890268683434,1.7856121733784676,1.7194666415452957,1.7379100993275642,18.75,15.0
,,,,,,,,,,,,,,1.7740706130862236,1.745380237698555,1.7186624929308891,1.693198636174202,21.25,22.5
,,,,,,,,,,,,,,1.8110983297228813,1.7726421281695366,1.7581568136811256,1.7251377776265144,22.5,20.0
,,,,,,,,,,,,,,1.6981314048171043,1.705904833972454,1.6666846051812172,1.6760724559426308,18.75,22.5
,,,,,,,,,,,,,,1.6431441232562065,1.647278867661953,1.6242267563939095,1.6344931572675705,28.75,18.75
,,,,,,,,,,,,,,1.6377351433038712,1.652709685266018,1.623751275241375,1.6439076587557793,16.25,15.0
,,,,,,,,,,,,,,1.6501986533403397,1.671362966299057,1.6374021545052528,1.6616535633802414,20.0,17.5
,,,,,,,,,,,,,,1.6761714220046997,1.663966491818428,1.6608735173940659,1.6529625579714775,21.25,17.5
,,,,,,,,,,,,,,1.6468464210629463,1.6755188778042793,1.633640930056572,1.6653416156768799,28.75,16.25
,,,,,,,,,,,,,,1.6674187779426575,1.6475368291139603,1.6541795507073402,1.638239100575447,16.25,16.25
,,,,,,,,,,,,,,1.6411025449633598,1.6680626645684242,1.6280869022011757,1.657459281384945,20.0,21.25
,,,,,,,,,,,,,,1.635655663907528,1.6288574114441872,1.6264471337199211,1.6223444938659668,20.0,20.0
,,,,,,,,,,,,,,1.6216365844011307,1.6342439875006676,1.6143825203180313,1.6289566159248352,22.5,20.0
,,,,,,,,,,,,,,1.6104117557406425,1.6200887858867645,1.6037030965089798,1.6167219281196594,25.0,16.25
,,,,,,,,,,,,,,1.619938150048256,1.6205797120928764,1.6136643961071968,1.6166138797998428,16.25,17.5
,,,,,,,,,,,,,,1.619099609553814,1.611324429512024,1.6135967448353767,1.6081704422831535,20.0,20.0
,,,,,,,,,,,,,,1.6127085760235786,1.6179931461811066,1.6067242324352264,1.6147111058235168,22.5,20.0
,,,,,,,,,,,,,,1.6315510049462318,1.6263621598482132,1.6257538720965385,1.622348852455616,18.75,20.0
,,,,,,,,,,,,,,1.6188526898622513,1.625976838171482,1.6138965412974358,1.6230498552322388,20.0,23.75
,,,,,,,,,,,,,,1.6159870326519012,1.6284186318516731,1.610960803925991,1.6257653012871742,21.25,21.25
,,,,,,,,,,,,,,1.6244136616587639,1.6165023818612099,1.6197897493839264,1.6136571764945984,15.0,25.0
,,,,,,,,,,,,,,1.6294894143939018,1.6304780915379524,1.6247934848070145,1.6279290467500687,16.25,18.75
,,,,,,,,,,,,,,1.6221690103411674,1.6131392121315002,1.617785170674324,1.6108185574412346,18.75,17.5
,,,,,,,,,,,,,,1.6227271780371666,1.61870888620615,1.618757277727127,1.6162997111678123,20.0,21.25
,,,,,,,,,,,,,,1.6211716681718826,1.612599641084671,1.6170352846384048,1.609879657626152,23.75,27.5
,,,,,,,,,,,,,,1.60776187479496,1.6073972508311272,1.60456083714962,1.6061872690916061,18.75,21.25
,,,,,,,,,,,,,,1.6110456585884094,1.6021008417010307,1.6079910770058632,1.6006963551044464,17.5,20.0
,,,,,,,,,,,,,,1.621843934059143,1.6217153519392014,1.6179648488759995,1.619839332997799,17.5,12.5
,,,,,,,,,,,,,,1.6206747964024544,1.6108888760209084,1.6169506087899208,1.6096971705555916,18.75,26.25
,,,,,,,,,,,,,,1.6077525913715363,1.6183045357465744,1.6043070256710052,1.6169156357645988,22.5,18.75
,,,,,,,,,,,,,,1.620032824575901,1.611072950065136,1.6167206540703773,1.6094702258706093,21.25,25.0
,,,,,,,,,,,,,,1.6015752702951431,1.6065736338496208,1.598786473274231,1.6052813529968262,22.5,20.0
,,,,,,,,,,,,,,1.6159712970256805,1.615377426147461,1.6132095158100128,1.614707037806511,22.5,20.0
,,,,,,,,,,,,,,1.6119364947080612,1.620017632842064,1.6088104844093323,1.618508867919445,22.5,16.25
,,,,,,,,,,,,,,1.6101730912923813,1.6091629341244698,1.607283927500248,1.6075929999351501,21.25,22.5
,,,,,,,,,,,,,,1.6141335740685463,1.6205652430653572,1.6115586832165718,1.619381658732891,23.75,15.0
,,,,,,,,,,,,,,1.6089983582496643,1.6162627413868904,1.6065386533737183,1.615040846168995,25.0,21.25
,,,,,,,,,,,,,,1.6086996868252754,1.607581466436386,1.6056239604949951,1.606064386665821,22.5,30.0
,,,,,,,,,,,,,,1.604794517159462,1.6053123027086258,1.6023178026080132,1.604203850030899,23.75,23.75
,,,,,,,,,,,,,,1.6068326234817505,1.6064483746886253,1.6046929955482483,1.6051683649420738,18.75,25.0
,,,,,,,,,,,,,,1.6161110028624535,1.6072612926363945,1.6137877404689789,1.6062771454453468,20.0,20.0
,,,,,,,,,,,,,,1.610655017197132,1.6071163937449455,1.6083844304084778,1.6061184257268906,18.75,23.75
,,,,,,,,,,,,,,1.6141285821795464,1.6154277473688126,1.6117069199681282,1.6143026500940323,22.5,21.25
,,,,,,,,,,,,,,1.6060764342546463,1.6054855585098267,1.6040144190192223,1.6045816838741302,18.75,28.75
,,,,,,,,,,,,,,1.611403003334999,1.612690657377243,1.608882375061512,1.6111994236707687,21.25,17.5
,,,,,,,,,,,,,,1.6123241484165192,1.6131477430462837,1.610417552292347,1.6123026087880135,16.25,17.5
,,,,,,,,,,,,,,1.6023153141140938,1.611841194331646,1.5999434813857079,1.6107983589172363,27.5,17.5
,,,,,,,,,,,,,,1.6119860485196114,1.6119604408740997,1.6094809919595718,1.6109444424510002,17.5,20.0
,,,,,,,,,,,,,,1.6190352886915207,1.6027409061789513,1.6165660992264748,1.602435514330864,18.75,30.0
,,,,,,,,,,,,,,1.609026812016964,1.60382429510355,1.6070609018206596,1.6033670157194138,18.75,17.5
,,,,,,,,,,,,,,1.6127283871173859,1.6095831990242004,1.6108888313174248,1.6090110316872597,17.5,21.25
,,,,,,,,,,,,,,1.6091554537415504,1.6114240735769272,1.6073963344097137,1.6102787405252457,18.75,17.5
,,,,,,,,,,,,,,1.60796257853508,1.6095915138721466,1.6059862971305847,1.6087178438901901,22.5,21.25
