data_dir,N_way,K_shot,inner_lr,outer_lr,n_steps,meta_steps,task_mb_size,lam,cg_steps,cg_damping,use_gpu,num_tasks,save_dir,lam_lr,lam_min,scalar_lam,taylor_approx,inner_alg,load_agent,load_tasks,train_pre,test_pre,train_post,test_post,train_acc,val_acc
/home/adithi-samudrala/imaml_dev/omniglot/python,5,1,0.01,0.01,16,1000,16,1.0,5,1.0,True,20000,./explicit_maml_runs,0.0,0.0,True,False,gradient,,,2.3301758766174316,2.3047166243195534,0.011543813976459205,1.792053535580635,100.0,33.75
,,,,,,,,,,,,,,,,,,,,,4.405400261282921,3.9427151530981064,0.023749391897581518,2.310252271592617,100.0,32.5
,,,,,,,,,,,,,,,,,,,,,2.8858679607510567,2.8469784930348396,0.03798404533881694,1.8663107827305794,100.0,36.25
,,,,,,,,,,,,,,,,,,,,,2.690191149711609,2.3811509162187576,0.05791596136987209,1.5415604524314404,100.0,37.5
,,,,,,,,,,,,,,,,,,,,,2.1591103449463844,2.0816917046904564,0.08730523148551583,1.5833380483090878,100.0,40.0
,,,,,,,,,,,,,,,,,,,,,1.8896472230553627,1.9207508638501167,0.12808931712061167,1.456641249358654,100.0,43.75
,,,,,,,,,,,,,,,,,,,,,2.049093835055828,2.1938389018177986,0.17976141115650535,1.6399091556668282,100.0,25.0
,,,,,,,,,,,,,,,,,,,,,1.9318676814436913,1.9244101792573929,0.25056746788322926,1.3994249179959297,100.0,46.25
,,,,,,,,,,,,,,,,,,,,,2.047345347702503,2.014194205403328,0.34435575921088457,1.4296998381614685,100.0,37.5
,,,,,,,,,,,,,,,,,,,,,2.0129712969064713,1.930257685482502,0.4116241838783026,1.3262200765311718,98.75,45.0
,,,,,,,,,,,,,,,,,,,,,2.0617881566286087,2.023495115339756,0.4754026923328638,1.390731681138277,100.0,45.0
,,,,,,,,,,,,,,,,,,,,,1.9889173433184624,1.9999132454395294,0.49123380333185196,1.4426246285438538,100.0,41.25
,,,,,,,,,,,,,,,,,,,,,1.942609190940857,1.8673830851912498,0.553699616342783,1.3066836297512054,100.0,50.0
