data_dir,N_way,K_shot,inner_lr,outer_lr,n_steps,meta_steps,task_mb_size,use_gpu,num_tasks,save_dir,method,neumann_steps,penalty_lambda,train_pre,test_pre,train_post,test_post,train_acc,val_acc
/home/adithi-samudrala/imaml_dev/omniglot/python,5,1,0.01,0.01,5,2000,16,True,20000,/home/adithi-samudrala/imaml_dev/examples/../results/reptile_new,reptile_new,3,1.0,2.3143881484866142,2.379690535366535,0.033587841084226966,1.8442969508469105,100.0,33.75
,,,,,,,,,,,,,,2.6486354991793633,2.509645067155361,0.03553398733492941,2.0307195857167244,100.0,25.0
,,,,,,,,,,,,,,2.3976949900388718,2.1958012357354164,0.04278067662380636,1.7604804150760174,100.0,36.25
,,,,,,,,,,,,,,2.1732502579689026,1.988073356449604,0.03749349853023887,1.6696310862898827,100.0,28.75
,,,,,,,,,,,,,,2.253043867647648,2.2794130742549896,0.03965841990429908,1.9711579531431198,100.0,31.25
,,,,,,,,,,,,,,2.039889097213745,2.1820369213819504,0.0417631781892851,1.889373991638422,100.0,31.25
,,,,,,,,,,,,,,2.2194229289889336,2.167526751756668,0.046206606552004814,1.8683167546987534,100.0,30.0
,,,,,,,,,,,,,,2.303726486861706,2.2261510491371155,0.05205273162573576,1.8613320924341679,100.0,27.5
,,,,,,,,,,,,,,2.1429005339741707,2.424243815243244,0.04524282552301884,2.138296402990818,100.0,27.5
,,,,,,,,,,,,,,2.0031658485531807,2.4335596039891243,0.047346301609650254,2.0504626780748367,100.0,21.25
,,,,,,,,,,,,,,2.209348127245903,2.348287418484688,0.050917733926326036,1.9844225570559502,100.0,25.0
,,,,,,,,,,,,,,1.9228533282876015,1.9777447432279587,0.04816762381233275,1.6958446949720383,100.0,33.75
,,,,,,,,,,,,,,2.2942084446549416,2.0773013159632683,0.053734484827145934,1.8707426264882088,100.0,27.5
,,,,,,,,,,,,,,2.052941732108593,2.0415265262126923,0.04913125280290842,1.738480281084776,100.0,28.75
,,,,,,,,,,,,,,2.299970418214798,1.8551790118217468,0.05399559624493122,1.6648481264710426,100.0,37.5
,,,,,,,,,,,,,,1.961084708571434,2.040064960718155,0.05271580861881375,1.7958898730576038,100.0,27.5
,,,,,,,,,,,,,,2.1686929389834404,2.241356685757637,0.05666898866184056,2.0135577246546745,100.0,25.0
,,,,,,,,,,,,,,2.048079162836075,2.075643926858902,0.05182015639729798,1.7899082452058792,100.0,30.0
,,,,,,,,,,,,,,2.2343805581331253,1.9248998537659645,0.055041189305484295,1.6456831991672516,100.0,37.5
,,,,,,,,,,,,,,2.1847763061523438,2.105365213006735,0.05468567227944732,1.8130882382392883,100.0,31.25
,,,,,,,,,,,,,,2.1950956359505653,2.139297842979431,0.05389419477432966,1.9195014871656895,100.0,31.25
,,,,,,,,,,,,,,2.294901080429554,2.095723882317543,0.05277733760885894,1.8537037521600723,100.0,32.5
,,,,,,,,,,,,,,2.0663037821650505,2.0359302312135696,0.05289755831472576,1.7741252779960632,100.0,31.25
,,,,,,,,,,,,,,2.071307934820652,2.213275268673897,0.052711000898852944,1.9108785167336464,100.0,27.5
,,,,,,,,,,,,,,2.137883633375168,2.132573500275612,0.056353619089350104,1.9394258931279182,100.0,23.75
,,,,,,,,,,,,,,1.8943703062832355,2.003699913620949,0.051268042996525764,1.7150129601359367,100.0,33.75
,,,,,,,,,,,,,,2.1389676332473755,1.8282011896371841,0.050814152928069234,1.5589993819594383,100.0,26.25
,,,,,,,,,,,,,,2.192358151078224,2.323912963271141,0.05369868595153093,2.0064985752105713,100.0,20.0
,,,,,,,,,,,,,,1.9642176106572151,2.131720744073391,0.0531314448453486,1.9376463368535042,100.0,20.0
,,,,,,,,,,,,,,2.108469009399414,2.0160377472639084,0.05777948722243309,1.7267808616161346,100.0,25.0
,,,,,,,,,,,,,,1.9041015356779099,2.1268247216939926,0.052093373611569405,1.8268150985240936,100.0,26.25
,,,,,,,,,,,,,,1.9898252561688423,1.9655901938676834,0.05286493734456599,1.6688962057232857,100.0,28.75
,,,,,,,,,,,,,,2.1803262159228325,2.1450702100992203,0.05649408116005361,1.7760039567947388,100.0,35.0
,,,,,,,,,,,,,,1.8080395981669426,2.044828899204731,0.05221457569859922,1.7110296003520489,100.0,35.0
,,,,,,,,,,,,,,2.1655470952391624,2.144408240914345,0.05522922519594431,1.8567370139062405,100.0,23.75
,,,,,,,,,,,,,,2.076271988451481,2.09575554728508,0.04755889251828194,1.7540922984480858,100.0,30.0
,,,,,,,,,,,,,,2.1516407057642937,2.036579228937626,0.05425508227199316,1.6978217028081417,100.0,28.75
,,,,,,,,,,,,,,2.107070803642273,2.0459849014878273,0.05584971630014479,1.6900385580956936,100.0,35.0
,,,,,,,,,,,,,,2.1926531940698624,1.9965087920427322,0.05145959369838238,1.6575703509151936,100.0,28.75
,,,,,,,,,,,,,,2.100857511162758,2.1685270369052887,0.05449713650159538,1.816236723214388,100.0,31.25
,,,,,,,,,,,,,,2.0354419499635696,2.0838917642831802,0.04835589649155736,1.8633267618715763,100.0,23.75
,,,,,,,,,,,,,,2.2151703387498856,2.2505753189325333,0.048237686045467854,2.1260261237621307,100.0,17.5
,,,,,,,,,,,,,,1.8654533997178078,1.9732710346579552,0.05124158435501158,1.6579081043601036,100.0,36.25
,,,,,,,,,,,,,,1.9800291880965233,1.8777090013027191,0.048680206993594766,1.6133961491286755,100.0,31.25
,,,,,,,,,,,,,,2.11140289157629,2.114978089928627,0.0487266075797379,1.772148508578539,100.0,23.75
,,,,,,,,,,,,,,2.0858734846115112,2.191323071718216,0.05167191615328193,1.766002632677555,100.0,26.25
,,,,,,,,,,,,,,2.134212501347065,2.2025716975331306,0.05356306326575577,1.857753910124302,100.0,30.0
,,,,,,,,,,,,,,2.0033680349588394,2.1096484810113907,0.051470126723870635,1.832945141941309,100.0,30.0
,,,,,,,,,,,,,,1.957861315459013,2.173514150083065,0.0499549088999629,1.887622781097889,100.0,21.25
,,,,,,,,,,,,,,2.0883237197995186,1.991443619132042,0.0502271275036037,1.5731086358428001,100.0,38.75
,,,,,,,,,,,,,,2.1030631959438324,2.021143600344658,0.050708460388705134,1.7876015156507492,100.0,36.25
